system   I             system.c:245  al_install_system                [   0.02043] Allegro version: 5.1.12 (WIP)
dtor     D               dtor.c:184  _al_register_destructor          [   0.02723] added dtor for object 00A721E8, func 64B4172B
system   D            wsystem.c:674  maybe_parent_dir                 [   0.02738] Also searching C:\Users\Administrador\Documents\GitHub\ProgramacionDeGraficos1TP3\TP3\bin\
system   D            wsystem.c:724  _al_win_safe_load_library        [   0.02762] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:635  load_library_at_path             [   0.02767] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:638  load_library_at_path             [   0.03586] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:672  d3d_init_display                 [   0.07500] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1770 d3d_create_display_locked        [   0.07549] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1771 d3d_create_display_locked        [   0.07552] al_display=04E73890
d3d      D         d3d_disp.cpp:1772 d3d_create_display_locked        [   0.07555] al_display->vt=04E737B0
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.08014] found 288 format combinations
display  D   display_settings.c:202  debug_display_settings           [   0.08022] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08027] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.08030] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08033] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.08036] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08040] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.08042] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08046] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.08048] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08052] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.08054] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08058] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.08061] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08064] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.08067] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08070] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.08073] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08076] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.08079] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08082] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.08085] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08089] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.08096] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08100] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.08103] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08107] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.08109] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08113] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.08115] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08119] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.08121] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08125] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.08128] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08131] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.08134] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08137] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.08140] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08143] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.08146] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08150] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.08152] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08156] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.08158] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08162] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.08164] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08168] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.08170] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08174] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.08176] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08180] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.08182] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08186] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.08188] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08192] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.08194] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08201] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.08204] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08208] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.08211] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08215] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.08218] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08222] Score is : 721
